N,h,bilinear_error,hermitian_error
64,0.01953125,0.16495707359622647,0.141129277658274
128,0.009765625,0.07438389392099432,0.011564127238598232
256,0.0048828125,0.07924784260217552,0.07398634136745841
512,0.00244140625,0.020254925088933704,0.007820412942048938
1024,0.001220703125,0.021312793587461725,0.011377992502703216
2048,0.0006103515625,0.016744654666702836,0.00022931689982808035
4096,0.00030517578125,0.009684722472290462,0.0025787667442733753
