forward,theta,analytic_delta,recovered_delta,delta_absolute_error,analytic_gamma,recovered_gamma,gamma_absolute_error
-0.025,-0.463647609001,0.0001681103853,0.000168110420872,3.55718090888e-11,0.0460078667103,0.0460077779779,8.87323815951e-08
-0.0243888888889,-0.453822110103,0.000198534834855,0.000198534874991,4.01352756097e-11,0.0537476955377,0.0537476279855,6.7552155425e-08
-0.0237777777778,-0.443901522286,0.000234042701958,0.000234042747598,4.5639513219e-11,0.0626696380461,0.0626698043563,1.66310192548e-07
-0.0231666666667,-0.43388643947,0.000275404190507,0.000275404241815,5.1308483612e-11,0.072933005449,0.0729331049906,9.95415847665e-08
-0.0225555555556,-0.423777542754,0.000323492272187,0.000323492330405,5.82177848681e-11,0.0847150595846,0.0847151515046,9.19200062038e-08
-0.0219444444444,-0.413575602736,0.000379294104977,0.000379294170274,6.52974124424e-11,0.0982124888491,0.0982123326114,1.56237726215e-07
-0.0213333333333,-0.403281481719,0.000443923366329,0.000443923439889,7.3559984872e-11,0.113642923905,0.113642972094,4.81885179537e-08
-0.0207222222222,-0.392896135786,0.000518633521705,0.000518633604257,8.25516983331e-11,0.131246480867,0.131246426205,5.46620250175e-08
-0.0201111111111,-0.382420616734,0.000604832040887,0.000604832133155,9.22675046176e-11,0.151287317291,0.151287241099,7.61921547798e-08
-0.0195,-0.371856073849,0.000704095564781,0.000704095667969,1.03187752939e-10,0.174055183817,0.174055240804,5.69864835043e-08
-0.0188888888889,-0.361203755494,0.000818186014149,0.000818186129368,1.15219179141e-10,0.199866951661,0.199867019713,6.80514961049e-08
-0.0182777777778,-0.350465010523,0.00094906761877,0.00094906774739,1.28620128762e-10,0.229068093502,0.229068034474,5.90275593126e-08
-0.0176666666667,-0.339641289475,0.00109892483101,0.00109892497422,1.43208457462e-10,0.26203409255,0.262034071261,2.12888036644e-08
-0.0170555555556,-0.328734145552,0.00127018107151,0.00127018123102,1.59509748725e-10,0.299171751859,0.29917163459,1.17269267463e-07
-0.0164444444444,-0.317745235361,0.00146551823673,0.00146551841358,1.76854754366e-10,0.340920373262,0.340920291398,8.18637505562e-08
-0.0158333333333,-0.306676319402,0.00168789687884,0.00168789707516,1.96322785069e-10,0.387752772736,0.387752840735,6.7999424147e-08
-0.0152222222222,-0.295529262292,0.00194057694704,0.00194057716428,2.17241868808e-10,0.440176096624,0.440176024423,7.2201286283e-08
-0.0146111111111,-0.284306032716,0.0022271389573,0.00222713919735,2.40052616673e-10,0.498732400947,0.498732500884,9.99371184141e-08
-0.014,-0.273008703087,0.0025515054337,0.0025515056988,2.65099003079e-10,0.563998954239,0.563999020234,6.59952307247e-08
-0.0133888888889,-0.261639448898,0.00291796243993,0.00291796273208,2.92147752171e-10,0.636588222847,0.636588230294,7.44745143333e-09
-0.0127777777778,-0.250200547778,0.00333118099411,0.00333118131581,3.21697336304e-10,0.7171474967,0.717147636723,1.40022359707e-07
-0.0121666666667,-0.238694378219,0.00379623813423,0.00379623848748,3.53245497957e-10,0.806358113082,0.806358038283,7.47990337446e-08
-0.0115555555556,-0.227123417987,0.00431863737565,0.00431863776363,3.87971960981e-10,0.904934236178,0.904934275241,3.90628218661e-08
-0.0109444444444,-0.215490242193,0.00490432827646,0.00490432870169,4.25235869954e-10,1.01362115108,1.01362123898,8.79027455269e-08
-0.0103333333333,-0.203797521042,0.00555972480176,0.00555972526713,4.65368849359e-10,1.13319303263,1.13319291319,1.194338064e-07
-0.00972222222222,-0.192048017241,0.00629172215454,0.00629172266335,5.08818158614e-10,1.26445015201,1.26445010738,4.46262300446e-08
-0.00911111111111,-0.180244583073,0.00710771171894,0.00710771227425,5.55306077163e-10,1.40821548756,1.40821552875,4.11861802441e-08
-0.0085,-0.168390157148,0.00801559374282,0.00801559434833,6.0550748443e-10,1.56533071057,1.5653308564,1.45830048925e-07
-0.00788888888889,-0.156487760812,0.00902378736995,0.00902378802886,6.58917460525e-10,1.73665152235,1.73665158488,6.25324643178e-08
-0.00727777777778,-0.144540494256,0.0101412376198,0.0101412383365,7.16617291549e-10,1.92304232521,1.92304237309,4.78838748652e-08
-0.00666666666667,-0.132551532297,0.0113774189048,0.0113774196828,7.77996597701e-10,2.12537021753,2.12537038619,1.68660809763e-07
-0.00605555555556,-0.120524119868,0.0127423346699,0.0127423355133,8.43396852357e-10,2.34449831142,2.34449836557,5.41507918506e-08
-0.00544444444444,-0.108461567225,0.0142465127445,0.0142465136576,9.13030781188e-10,2.5812783808,2.58127850634,1.25539561857e-07
-0.00483333333333,-0.0963672448751,0.0159009960005,0.0159009969878,9.87372482386e-10,2.83654285823,2.83654290167,4.34392792847e-08
-0.00422222222222,-0.0842445782594,0.0177173279272,0.0177173289933,1.06606855288e-09,3.11109620948,3.11109616439,4.50943371533e-08
-0.00361111111111,-0.0720970421972,0.0197075327566,0.0197075339061,1.14952474276e-09,3.40570572687,3.40570575667,2.97998674625e-08
-0.003,-0.0599281551212,0.0218840897966,0.0218840910343,1.23773391189e-09,3.72109179434,3.72109179949,5.14500220206e-09
-0.00238888888889,-0.047741473122,0.0242599016704,0.0242599030012,1.33081786216e-09,4.05791769011,4.0579178105,1.20392641634e-07
-0.00177777777778,-0.0355405838284,0.0268482562032,0.0268482576324,1.42920770357e-09,4.41677900517,4.41677897048,3.46941968488e-08
-0.00116666666667,-0.0233291001482,0.029662781747,0.0296627832795,1.53249585591e-09,4.79819276895,4.7981928178,4.88470330851e-08
-0.000555555555556,-0.0111106538976,0.0327173957972,0.0327173974382,1.64095134703e-09,5.20258638549,5.2025864205,3.50097639767e-08
5.55555555556e-05,0.00111111065386,0.0360262468191,0.0360262485739,1.75478014064e-09,5.63028649576,5.63028654699,5.12234299421e-08
0.000666666666667,0.0133325432941,0.0396036492768,0.0396036511504,1.87362551862e-09,6.08150789262,6.08150803182,1.39202636085e-07
