maturity,theta,forward,time_derivative,phase_generator,residual
0.12,-0.0729404431812,-0.00365350371365,2.22812737893e-12,7.58840198485e-12,-5.36027460593e-12
0.12,-0.0629223107243,-0.00315027417389,4.78261100386e-12,2.26424039573e-12,2.51837060812e-12
0.12,-0.0529041782674,-0.00264767952885,1.01130496477e-11,4.22752302124e-12,5.88552662649e-12
0.12,-0.0428860458105,-0.00214561786788,2.10406321023e-11,2.62008811573e-11,-5.16024905502e-12
0.12,-0.0328679133536,-0.00164398771014,4.3241575722e-11,4.22834407367e-11,9.58134985288e-13
0.12,-0.0228497808966,-0.0011426879223,8.75220687243e-11,9.05242588469e-11,-3.00219012257e-12
0.12,-0.0128316484397,-0.000641617636745,1.74862509479e-10,1.68774453098e-10,6.08805638151e-12
0.12,-0.00281351598282,-0.000140676170333,3.44588171889e-10,3.53951723359e-10,-9.36355146992e-12
0.12,0.00720461647409,0.000360237056607,6.69979148203e-10,6.78161030242e-10,-8.18188203861e-12
0.12,0.017222748931,0.000861222601068,1.28548121736e-09,1.28902504438e-09,-3.54382702694e-12
0.12,0.0272408813879,0.00136238107812,2.43424666938e-09,2.43038716744e-09,3.85950194165e-12
0.12,0.0372590138448,0.00186381324178,4.54973288903e-09,4.5428014383e-09,6.93145072611e-12
0.12,0.0472771463017,0.00236562006609,8.39426202876e-09,8.39140601862e-09,2.85601014115e-12
0.12,0.0572952787587,0.00286790282662,1.52894132626e-08,1.52861841873e-08,3.22907529669e-12
0.12,0.0673134112156,0.00337076318243,2.74944090036e-08,2.74935308643e-08,8.78139258839e-13
0.12,0.0773315436725,0.0038743032587,4.88172830924e-08,4.88152170001e-08,2.06609230431e-12
0.12,0.0873496761294,0.00437862573024,8.558618696e-08,8.55842179403e-08,1.96901966083e-12
0.12,0.0973678085863,0.00488383390582,1.48168304518e-07,1.48174232978e-07,-5.92845975412e-12
0.12,0.107385941043,0.0053900318137,2.53305525319e-07,2.5330919855e-07,-3.67323043995e-12
0.12,0.1174040735,0.00589732428833,4.27644928271e-07,4.27641751089e-07,3.1771824548e-12
0.12,0.127422205957,0.00640581705854,7.12981365362e-07,7.12981490477e-07,-1.2511489899e-13
0.12,0.137440338414,0.00691561683719,1.17390128529e-06,1.1738971869e-06,4.0983865808e-12
0.12,0.147458470871,0.00742683141263,1.90871490569e-06,1.90871836521e-06,-3.45952346673e-12
0.12,0.157476603328,0.00793956974201,3.06478095429e-06,3.06478284504e-06,-1.89074987602e-12
0.12,0.167494735785,0.0084539420467,4.85953445702e-06,4.85953849961e-06,-4.04259076996e-12
0.12,0.177512868242,0.0089700599099,7.60868780121e-06,7.6086951971e-06,-7.39588967749e-12
0.12,0.187531000699,0.0094880363768,1.17631260656e-05,1.17631383007e-05,-1.22350631383e-11
0.12,0.197549133155,0.0100079860572,1.79558731614e-05,1.79558820215e-05,-8.86015576296e-12
0.12,0.207567265612,0.0105300252314,2.70600614216e-05,2.70600847882e-05,-2.33665565771e-11
0.12,0.217585398069,0.0110542719582,4.0257966718e-05,4.02579952764e-05,-2.85584018795e-11
