angle_bins,eligible_collinear,noncollinear
90,0.0433560750949,0.395881850014
180,0.0210752764214,0.397919810684
360,0.00991839509936,0.399550688942
720,0.00473838753942,0.399511284181
1440,0.00224477492835,0.401696670636
