probability,empirical,exact,error
0.01,-1.20831392708,-1.20657104553,-0.00174288154416
0.02,-1.16459402697,-1.16218590607,-0.00240812089889
0.03,-1.12964715979,-1.12834310035,-0.00130405944267
0.04,-1.10030637772,-1.09923751239,-0.00106886532723
0.05,-1.07448477329,-1.07282672999,-0.00165804330115
0.06,-1.05029780043,-1.04812443216,-0.00217336826554
0.07,-1.02692765326,-1.02456900129,-0.00235865196785
0.08,-1.00397165885,-1.00180559577,-0.00216606307998
0.09,-0.981995656944,-0.979593117577,-0.00240253936625
0.1,-0.960497777343,-0.957758636829,-0.00273914051399
0.11,-0.938415613375,-0.936172779721,-0.00224283365353
0.12,-0.91680720817,-0.914735432801,-0.00207177536895
0.13,-0.895001099457,-0.89336695708,-0.0016341423773
0.14,-0.873356334641,-0.87200254109,-0.00135379355025
0.15,-0.853002467024,-0.850588438418,-0.0024140286063
0.16,-0.831615143887,-0.829079387012,-0.00253575687501
0.17,-0.809682595799,-0.807436797545,-0.00224579825477
0.18,-0.787433381897,-0.785627458498,-0.00180592339953
0.19,-0.765807226408,-0.763622598255,-0.00218462815325
0.2,-0.74443673594,-0.741397200019,-0.00303953592135
0.21,-0.722608022535,-0.718929499709,-0.00367852282671
0.22,-0.699098811462,-0.696200618807,-0.00289819265475
0.23,-0.676138219067,-0.673194298373,-0.00294392069395
0.24,-0.653397027904,-0.649896709832,-0.00350031807136
0.25,-0.629447909291,-0.626296324548,-0.00315158474265
0.26,-0.606071461259,-0.602383828498,-0.003687632761
0.27,-0.581420342735,-0.578152071404,-0.00326827133086
0.28,-0.556625953122,-0.553596041736,-0.00302991138523
0.29,-0.53103235933,-0.528712860449,-0.00231949888045
0.3,-0.506117807099,-0.50350178736,-0.0026160197394
0.31,-0.479810066934,-0.477964234772,-0.00184583216134
0.32,-0.454602648998,-0.4521037835,-0.00249886549803
0.33,-0.428836864378,-0.425926196833,-0.00291066754501
0.34,-0.402730536554,-0.399439428343,-0.00329110821098
0.35,-0.376239785154,-0.372653619746,-0.00358616540853
0.36,-0.348138544364,-0.345581085356,-0.0025574590086
0.37,-0.320806647518,-0.318236280067,-0.00257036745098
0.38,-0.29200133854,-0.290635748205,-0.00136559033464
0.39,-0.263698610404,-0.262798051106,-0.00090055929794
0.4,-0.234897519146,-0.234743671862,-0.000153847284374
0.41,-0.206559707324,-0.206494896299,-6.48110251991e-05
0.42,-0.178854543811,-0.178075669987,-0.000778873824475
0.43,-0.149641938299,-0.149511431788,-0.000130506510753
0.44,-0.120392437923,-0.120828925256,0.000436487332497
0.45,-0.0913604320958,-0.0920559899073,0.000695557811524
0.46,-0.0619765883546,-0.0632213351239,0.00124474676926
0.47,-0.0338559953603,-0.034354300043,0.000498304682704
0.48,-0.00531377979254,-0.00548460334283,0.000170823550291
0.49,0.0232612422875,0.0233579128048,-9.66705172565e-05
0.5,0.0529396284418,0.0521435400979,0.00079608834391
0.51,0.0808230293921,0.0808429582025,-1.99288103346e-05
0.52,0.109927985038,0.109427481104,0.000500503933912
0.53,0.138132935425,0.137869291497,0.000263643928364
0.54,0.166345689201,0.166141659408,0.000204029792955
0.55,0.193898041803,0.194219141785,-0.000321099982605
0.56,0.220351930314,0.222077760418,-0.00172583010393
0.57,0.248350848613,0.249695156254,-0.001344307641
0.58,0.275072222139,0.277050718906,-0.0019784967663
0.59,0.30191447131,0.304125690872,-0.00221121956186
0.6,0.328064784963,0.330903246691,-0.00283846172738
0.61,0.355260557109,0.357368547887,-0.00210799077824
0.62,0.381439908254,0.383508775152,-0.00206886689797
0.63,0.405840263427,0.409313139667,-0.00347287623976
0.64,0.432645879171,0.43477287588,-0.00212699670882
0.65,0.457958308648,0.459881218342,-0.00192290969453
0.66,0.482499877362,0.484633365428,-0.00213348806636
0.67,0.506857292095,0.509026432889,-0.0021691407943
0.68,0.532292175616,0.53305940029,-0.000767224673418
0.69,0.555910668096,0.556733053386,-0.000822385290266
0.7,0.578791408303,0.580049925518,-0.0012585172153
0.71,0.601335092956,0.603014241114,-0.00167914815812
0.72,0.623366135056,0.625631864396,-0.00226572933997
0.73,0.646186764936,0.647910256484,-0.00172349154798
0.74,0.668939378973,0.669858444234,-0.00091906526164
0.75,0.690750029816,0.691487004419,-0.000736974603452
0.76,0.712184948535,0.712808067303,-0.000623118767721
0.77,0.733035527585,0.733835344325,-0.00079981674065
0.78,0.753749920553,0.754584185582,-0.000834265028464
0.79,0.774290887672,0.775071674212,-0.000780786539952
0.8,0.795388719181,0.795316766834,7.1952347515e-05
0.81,0.81576880481,0.815340492059,0.00042831275098
0.82,0.83491043012,0.835166223327,-0.000255793207656
0.83,0.85435144682,0.854820048384,-0.000468601563626
0.84,0.87419802253,0.874331266699,-0.000133244169545
0.85,0.893404808438,0.893733059644,-0.000328251205798
0.86,0.912359273248,0.913063398897,-0.000704125649096
0.87,0.931827350108,0.932366291047,-0.00053894093949
0.88,0.950224386375,0.951693508803,-0.00146912242738
0.89,0.969875877697,0.971107046708,-0.00123116901129
0.9,0.990348226188,0.990682690714,-0.000334464526674
0.91,1.01007119577,1.01051536476,-0.000444168989685
0.92,1.03028454505,1.03072743862,-0.000442893566334
0.93,1.05094232859,1.05148223581,-0.000539907217114
0.94,1.07191853649,1.07300728162,-0.00108874512583
0.95,1.09510380099,1.09563735145,-0.000533550451471
0.96,1.11974155559,1.11990236298,-0.000160807381695
0.97,1.14698912186,1.14673334861,0.000255773252917
0.98,1.17962322307,1.17805960147,0.00156362159809
0.99,1.22006824044,1.21937127246,0.000696967984348
