N,h,mean_absolute_error,standard_error,fitted_slope
16,0.078125,0.15039214709577678,0.0014688407541891613,0.5015310910600802
32,0.0390625,0.10641657497210176,0.0009722008374146298,0.5015310910600802
64,0.01953125,0.07579372872239047,0.0006903655727168078,0.5015310910600802
128,0.009765625,0.052824400401649846,0.0004553759537900112,0.5015310910600802
256,0.0048828125,0.03745636699466884,0.0003114750819267434,0.5015310910600802
512,0.00244140625,0.026536507182923504,0.00022854469588821577,0.5015310910600802
