N,h,epsilon,discrete_mean,discrete_standard_error,occupation_mean,occupation_standard_error,identity_max_error,exact_mean,occupation_absolute_error,discrete_z_score
128,0.009765625,0.15717917871036693,0.8953320499359639,0.008669197194639907,0.832549044178006,0.007048873488598314,2.8171909249863347e-15,0.8920620580763856,0.059513013898379596,0.3771966176522244
512,0.00244140625,0.11114246312743267,0.88271732501069,0.008717536346501565,0.8341799042053791,0.007474119777523156,7.105427357601002e-15,0.8920620580763856,0.05788215387100648,-1.071946556259068
2048,0.0006103515625,0.07858958935518347,0.8842030655941996,0.008677798694172179,0.845795790008413,0.00777888395682549,1.0658141036401503e-14,0.8920620580763856,0.04626626806797263,-0.905643557675975
8192,0.000152587890625,0.055571231563716336,0.8938958864329231,0.008822084903943579,0.8689047556166085,0.00818098108517161,1.9984014443252818e-14,0.8920620580763856,0.023157302459777096,0.2078679106474825
