model,eigenvalue_1,eigenvalue_2,relative_matrix_error
one-driver log-polar,-1.3877787807814457e-16,0.5959779016059853,0.001346135445801706
two-driver planar control,0.2497659718490787,0.25035200092391635,0.001195571247100207
