samples,direct_error,phase_error,direct_minus_phase
256,0.0020371827396,0.0020371827396,0
512,0.000452754242923,0.000452754242923,0
1024,0.000147498193409,0.000147498193409,5.55111512313e-17
2048,0.000162256482922,0.000162256482922,0
4096,3.59031978648e-05,3.59031978648e-05,0
8192,2.38417355243e-05,2.38417355243e-05,0
16384,9.91290169788e-06,9.91290169788e-06,0
32768,9.07349874163e-06,9.07349874163e-06,0
65536,1.18588820686e-06,1.18588820686e-06,0
