case,lambda,rho,phi,phase_span_limit,max_scalar_error,max_complex_error
0,0.698174261913,2.23728906843,0.451835359245,3.14159265359,1.45661260831e-13,3.5771434094e-13
1,0.532625790455,1.92948880486,-1.49276341996,3.14159265359,1.24344978758e-13,3.25234638254e-13
2,-0.79747430173,3.24460561118,2.32507379934,3.14159265359,1.4743761767e-13,4.76091025267e-13
3,0.892513739729,0.457531841668,-0.817088106676,3.14159265359,2.48689957516e-14,2.1596780861e-14
4,0.102725434151,1.54919318315,0.603298746899,3.14159265359,3.2684965845e-13,5.93632835666e-13
5,0.872824477189,1.19519815507,2.28978305597,3.14159265359,9.05941988094e-14,6.04108248808e-14
