angle_bins,eligible_collinear,noncollinear
90,0.0436472828246,0.403098202199
180,0.0212515137754,0.404319201076
360,0.00984200719189,0.402905225756
720,0.00488079301093,0.403947463838
1440,0.00226375539874,0.403464804074
