case,log_scale_half_spread,curvature_numerator,alpha,correlation_curvature
spread,0.51,0.566894852069,-7.5,-0.0755859802758
basket,0.51,0.566894852069,7.5,0.0755859802758
spread,0.52,0.591335848155,-7.5,-0.078844779754
basket,0.52,0.591335848155,7.5,0.078844779754
spread,0.53,0.616413399799,-7.5,-0.0821884533065
basket,0.53,0.616413399799,7.5,0.0821884533065
spread,0.54,0.642137538355,-7.5,-0.0856183384474
basket,0.54,0.642137538355,7.5,0.0856183384474
spread,0.55,0.668518553822,-7.5,-0.0891358071763
basket,0.55,0.668518553822,7.5,0.0891358071763
spread,0.56,0.695566998958,-7.5,-0.0927422665277
basket,0.56,0.695566998958,7.5,0.0927422665277
spread,0.57,0.723293693501,-7.5,-0.0964391591335
basket,0.57,0.723293693501,7.5,0.0964391591335
spread,0.58,0.751709728499,-7.5,-0.1002279638
basket,0.58,0.751709728499,7.5,0.1002279638
spread,0.59,0.780826470745,-7.5,-0.104110196099
basket,0.59,0.780826470745,7.5,0.104110196099
spread,0.6,0.810655567324,-7.5,-0.108087408977
basket,0.6,0.810655567324,7.5,0.108087408977
spread,0.61,0.841208950273,-7.5,-0.11216119337
basket,0.61,0.841208950273,7.5,0.11216119337
spread,0.62,0.872498841351,-7.5,-0.116333178847
basket,0.62,0.872498841351,7.5,0.116333178847
spread,0.63,0.904537756933,-7.5,-0.120605034258
basket,0.63,0.904537756933,7.5,0.120605034258
spread,0.64,0.937338513011,-7.5,-0.124978468401
basket,0.64,0.937338513011,7.5,0.124978468401
spread,0.65,0.970914230327,-7.5,-0.12945523071
basket,0.65,0.970914230327,7.5,0.12945523071
spread,0.66,1.00527833961,-7.5,-0.134037111948
basket,0.66,1.00527833961,7.5,0.134037111948
spread,0.67,1.04044458697,-7.5,-0.13872594493
basket,0.67,1.04044458697,7.5,0.13872594493
spread,0.68,1.07642703937,-7.5,-0.14352360525
basket,0.68,1.07642703937,7.5,0.14352360525
spread,0.69,1.11324009028,-7.5,-0.148432012037
basket,0.69,1.11324009028,7.5,0.148432012037
spread,0.7,1.15089846539,-7.5,-0.153453128719
basket,0.7,1.15089846539,7.5,0.153453128719
spread,0.71,1.18941722857,-7.5,-0.15858896381
basket,0.71,1.18941722857,7.5,0.15858896381
spread,0.72,1.22881178784,-7.5,-0.163841571712
basket,0.72,1.22881178784,7.5,0.163841571712
