time,lambda,true_mean,misordered_mean,true_variance,misordered_variance,true_transform,misordered_transform,absolute_gap,ratio
0.1,0.7,0.0201666666667,0.0203333333333,0.000341666666667,0.000358333333333,1.01430167928,1.0144241636,0.000122484322615,1.00012075729
0.15,0.7,0.0305625,0.031125,0.0011671875,0.0012515625,1.02191642339,1.02234001568,0.000423592287169,1.00041450776
0.2,0.7,0.0413333333333,0.0426666666667,0.0028,0.00306666666667,1.03006234891,1.03109155167,0.00102920276215,1.0009991655
0.25,0.7,0.0526041666667,0.0552083333333,0.00553385416667,0.00618489583333,1.0389168821,1.04097849647,0.00206161437292,1.00198438817
0.3,0.7,0.0645,0.069,0.009675,0.011025,1.04866756751,1.05232407715,0.00365650964182,1.00348681484
0.35,0.7,0.0771458333333,0.0842916666667,0.0155421875,0.0180432291667,1.05951358345,1.06547931379,0.00596573033695,1.00563063129
0.4,0.7,0.0906666666667,0.101333333333,0.0234666666667,0.0277333333333,1.07166766437,1.0808286333,0.0091609689304,1.00854833008
0.45,0.7,0.1051875,0.120375,0.0337921875,0.0406265625,1.08535848782,1.09879706904,0.0134385812205,1.01238169819
0.5,0.7,0.120833333333,0.141666666667,0.046875,0.0572916666667,1.10083359708,1.11985938128,0.0190257842056,1.01728307008
0.55,0.7,0.137729166667,0.165458333333,0.0630838541667,0.0783348958333,1.11836294628,1.1445515293,0.0261885830219,1.02341689083
0.6,0.7,0.156,0.192,0.0828,0.1044,1.13824317595,1.17348505404,0.0352418780899,1.03096164232
0.65,0.7,0.175770833333,0.221541666667,0.1064171875,0.136168229167,1.16080275305,1.20736510113,0.0465623480765,1.04011219646
0.7,0.7,0.197166666667,0.254333333333,0.134341666667,0.174358333333,1.18640814248,1.24701304157,0.0606048990918,1.05108267292
0.75,0.7,0.2203125,0.290625,0.1669921875,0.2197265625,1.21547121871,1.29339495288,0.0779237341663,1.06410989661
0.8,0.7,0.245333333333,0.330666666667,0.2048,0.273066666667,1.24845817919,1.34765763465,0.0991994554566,1.07945757184
0.85,0.7,0.272354166667,0.374708333333,0.248208854167,0.335209895833,1.28590028758,1.41117438913,0.125274101546,1.09742131855
0.9,0.7,0.3015,0.423,0.297675,0.407025,1.32840686051,1.48560355645,0.157196695935,1.11833475165
0.95,0.7,0.332895833333,0.475791666667,0.3536671875,0.489418229167,1.37668101982,1.57296383516,0.196282815337,1.14257682972
1,0.7,0.366666666667,0.533333333333,0.416666666667,0.583333333333,1.43153887211,1.675731858,0.244192985886,1.17058075798
1.05,0.7,0.4029375,0.595875,0.4871671875,0.6897515625,1.4939329571,1.7969694962,0.303036539105,1.20284480483
1.1,0.7,0.441833333333,0.663666666667,0.565675,0.809691666667,1.56498103911,1.9404911769,0.375510137794,1.23994548714
1.15,0.7,0.483479166667,0.736958333333,0.652708854167,0.944209895833,1.64600161914,2.1110854739,0.465083854754,1.28255370429
1.2,0.7,0.528,0.816,0.7488,1.0944,1.73855794088,2.31481090107,0.576252960189,1.33145456164
1.25,0.7,0.575520833333,0.901041666667,0.8544921875,1.26139322917,1.84451278467,2.55939399,0.714881205329,1.38757183538
1.3,0.7,0.626166666667,0.992333333333,0.970341666667,1.44635833333,1.96609703093,2.8547695591,0.888672528169,1.45199830638
1.35,0.7,0.6800625,1.090125,1.0969171875,1.6505015625,2.10599588746,3.21382039223,1.10782450477,1.5260335556
1.4,0.7,0.737333333333,1.19466666667,1.2348,1.87506666667,2.26745789366,3.65339912004,1.38594122638,1.61123129574
1.45,0.7,0.798104166667,1.30620833333,1.38458385417,2.12133489583,2.45443345062,4.19575325006,1.74131979943,1.70945895844
1.5,0.7,0.8625,1.425,1.546875,2.390625,2.67175183436,4.87053177413,2.19877993977,1.82297311879
1.55,0.7,0.930645833333,1.55129166667,1.7222921875,2.68429322917,2.92534864739,5.71763928513,2.79229063774,1.95451550372
1.6,0.7,1.00266666667,1.68533333333,1.91146666667,3.00373333333,3.22255975914,6.79133815858,3.56877839944,2.10743591002
1.65,0.7,1.0786875,1.827375,2.1150421875,3.3503765625,3.57250341215,8.16620876577,4.59370535361,2.28585051535
1.7,0.7,1.15883333333,1.97766666667,2.333675,3.72569166667,3.98657995155,9.94590715161,5.95932720007,2.49484702991
1.75,0.7,1.24322916667,2.13645833333,2.56803385417,4.13118489583,4.4791294616,12.276184093,7.79705463135,2.74075223728
1.8,0.7,1.332,2.304,2.8188,4.5684,5.0683027589,15.3644745939,10.296171835,3.03148318574
1.85,0.7,1.42527083333,2.48054166667,3.0866671875,5.03891822917,5.77722257749,19.5097459459,13.7325233684,3.3770113033
1.9,0.7,1.52316666667,2.66633333333,3.37234166667,5.54435833333,6.63554214953,25.1485722362,18.5130300866,3.78998003019
1.95,0.7,1.6258125,2.861625,3.6765421875,6.0863765625,7.68155181457,32.9272228478,25.2456710332,4.28653267499
2,0.7,1.73333333333,3.06666666667,4,6.66666666667,8.96504685369,43.8160417356,34.8509948819,4.88743031137
