bracket,realized_real,realized_imag,target_real,target_imag,relative_error,steps
bilinear,-0.2166826357201879,-1.4216670715443886,-0.2140152639715254,-1.4214814402905196,0.0018600483910582175,262144
hermitian,1.7705920755816003,0.0,1.767283169655035,0.0,0.0018723122493216912,262144
