variable,empirical_mean,analytic_mean,empirical_variance,analytic_variance
log_radius,0.13681427661593942,0.13770000000000002,0.2656997381659866,0.26459999999999995
phase,1.3486292376199063,1.35,0.6363840100630916,0.63375
