steps,step_size,rms_strong_error,fitted_slope,paths
16,0.0625,0.21371104577852534,0.562511466542004,12000
32,0.03125,0.13548238082692496,0.562511466542004,12000
64,0.015625,0.09147801904300314,0.562511466542004,12000
128,0.0078125,0.06330981701680054,0.562511466542004,12000
256,0.00390625,0.04450089326316272,0.562511466542004,12000
